id,lang,source,translation
58,evn,эдын ачин бичон энинӈӣв.,мужа не было у моей матери.
59,xas,tăn (uget) măna. ,ты дай(?) мне.
60,bak,"[rrg] ну, aləθ bigeräk, ällä ni saqlə barər käräk.","[rrg] ну да, слишком далеко, не знаю сколько надо ехать."
61,bak,"säɣät ällä ös ine ul töngö, три часа.","времени было вроде три часа ночи, три часа."
62,mhr,"тудо будкыш петыреныт,","закрыли в эту будку,"
63,kjh,а постарының чон астапча.,а свой народ голодает.
64,xas,pazʼiʔ bar barəʔpi. ,палкой ведь кидала.
65,kjh,а андада улуғ хамнар тіп кил чоохтасчаңнар.,а тогда большие шаманы разговаривали.
66,xas,(dĭ ba -) dĭ uʔpi. ,он встал.
67,kjh,саңай ла піс хазах кип-азах киспеӌебіс.,мы русскую одежду совсем не надевали.
68,xas,bĭdeʔ bü! ,пей воду!
69,kjh,"а тагза апар салтыр, а кем апарған тяжёлыйды?","а на гору отнесли, а кто унёс тяжёлый?"
70,kjh,"[emk1967f] ну, а ол піди… чуғаӌахтар.",[emk1967f] они такие тоненькие.
71,kjh,"[emk1967f] а олар піди… онааға <?> мының алнындағы тӧӧйлер, а піди чуғаӌахтар пластиналар охс.","[emk1967f] а, они просто похожи на те, что были раньше, а так они тоненькие, как пластины."
72,kjh,[erk1927f] мин.,[erk1927f] я.
73,evn,"куӈакар hуюкур биӈэhӣтын-тэ, этэсов стадэлдӯ hавалдямӣ.","дети маленькие когда были, перестал в стаде работать."
74,kjh,"[lat1978f] мин искем, ниме, пу чыланнар как бы ту… самый пастығлары чи, или хайди тіпчелер, царьі чи ниме, мындағ тӱктӱг ниме хайдағ полчан одыр <?>.","[lat1978f] я слышала, у таких змей самые главные или, как говорят, царь их, что ли, бывает такой волосатый как бы."
75,xas,kabarləj. ,останови [плёнку].
76,kjh,хыыр ам.,прочитай-ка.
77,xas,dĭʔnə tüj (š-) sejʔpü pʼe. ,ей сейчас семь[десят] лет.
78,kjh,"анаң пір хыс оолбаң мында, мындағох, пу аалдаң, чуртап салғаннар еще.","потом одна девушка с парнем здесь, здешняя же, с этой деревни, поженились ещё."
79,bak,"ä bəna qərq kön uraða bajramə ütkändän huŋ, qərq köndän huŋ, qorban bajramə bula.","и вот через сорок дней после праздника поста, через сорок дней бывает праздник жертвы (курбан байрам)."
80,bak,[rrg] ä ilnaranəqən direktorðan alɣandar tej tügelme?,"[rrg] а у ильнары [копию аттестата] у директора заверили, не так ли?"
81,kjh,"анаң пыдырахтаң хайдағ-де бригадир полған, ниме, районный.","потом из бутрахтов какой-то бригадир был, это, районный."
82,mhr,мылам тройкым шындыш.,мне тройку поставил.
83,xas,anaʔ dĭbər. ,иди сюда.
84,kjh,"се мин ам іӌемох чазына читіре чурта… чуртап алам, аннаң артых чуртабассым тіп сағынчам аннаңары.","ну я теперь до маминых лет жив… проживу, больше этого не теперь до маминых лет жив… проживу, больше этого не проживу, думаю, поэтому."
85,mhr,[8] мелнам кузе ышташ?,[8] как делать блины?
86,kjh,"а парғамда, улам... улам ӱстӱнде абам от хырлапча, чон толдыра.","а когда я пошла, стог... на стоге сена, отец стог вершит, народа полно."
87,xas,perejaslăvkanə šobibaʔ. ,мы приехали в переясловку.
88,kjh,"[vtt1937f] но, жаннаның андағох улии седьмойға, анаң диана, анаң илюша – ӱс пала.","[vtt1937f] да, у жанны также старшая в седьмой, потом диана, потом илюша – трое детей."
89,xas,"davaj kirgarzittə:"" šöʔkeʔ măna! ","и стала кричать: ""сшейте мне!"
90,xas,"""šaʔlaːndə miʔnʼibeʔ!"" ","""спрячь нас""."
91,kjh,"[zgb1935f] ирліг, пала чоғыл.","[zgb1935f] замужем, детей нет."
92,kjh,[egs1982f] а сірердің мында пу тағлардың прай піреезі… пірее тағлардың ат… аттары пар ба?,"[egs1982f] а у вас здесь у этих гор, у каких-то гор есть названия?"
93,evn,"сундӯ эдӯ, эдӯ ороко̄р вон биhэ.",у вас здесь олени.
94,xas,dĭgəttə parluʔbiam. ,тогда я вернулась.
95,xas,ej jakšə nʼilgölaʔsittə. ,нехорошо подслушивать(?).
96,xas,kuja bar amnolaʔbə. ,солнце ведь садится.
97,kjh,"[evs1979f] а чох, піске чай, піс  азыранып алғабыс, чіп алғабыс.","[evs1979f] а нет, нам чай... мы покушали, поели."
98,bak,"ultərtøəɣəð =ða barø, səɣəp torøoɣoð.","поставьте пока, выходите и пойдите."
99,evn,дэ̄.,да...
100,kjh,"«кригорийдың хызы кил пеере» тіпче, «сегее килгем» тіпче.","«дочь григория, иди сюда» говорит, «за тобой я приехал» говорит."
101,bak,"šulajtəp, ""alla böjök, alla böjök"" tip, šul bötörölöp qujəla inde, šulaj... šul примерный перевод, šulaj примерный переводить ittem.","вот так, ""аллах велик, аллах велик"" - так заканчивается [такбир], так... вот примерный перевод, я так сделал примерный перевод."
102,evn,часовнядӯ индеӈкӣтын,[нрзб]  в часовне они жили.
103,bak,"и таким bulmanə, šul baldaq almanəq, baldaq juq, <šulaj tege> šul baldaqhəð šulaj tip tuj ütte.","и так нет, этих колец не достали, нет колец, и так без колец прошла свадьба."
104,mhr,"вет изиш илынет дык,",если хочешь немножко пожить —
105,bak,məna dürt biš jəl elek =kenä äle iŋ ölkän ulə räšit aɣaj ülde.,вот только 4 или 5 лет назад умер их старший сын братец рашит.
106,mhr,"[2] хоть в церкву ходи, никто не запрещает, только молись.","[2] хоть в церковь ходи, никто не запрещает, только молись."
107,xas,măn (noʔ-) noʔdə tonəʔlaʔbə. ,топчет мою траве.
108,xas,"ilzʼiʔ jakšə dʼăbaktəraʔ!"" ",говори с людьми по-хорошему!»
109,evn,"эр тодёдо̄hун, hэлэ эмэпдем ирэкселвэ... ирэксевэ, о̄hалба, эр са̄тырэ ирэксэвон, эван.","чтобы вы поверили, я принес шкуру, камусы, шкуру и тому подобное этого песца."
110,kjh,"чарир, наверно, зе.","достаточно, наверно, да."
111,kjh,анаң паза анӌа нонна ноо <?> денис полар анда.,"потом еще сколько нонна … денис там будет, наверное."
112,mhr,"[8] мошташ моштет, коҥга уке гын вот каньыл огыл,","[8] может, сможешь, но если нет печки, тогда нелегко,"
113,mhr,тротуар ден каена — чыла лавыра.,по тротуару идём — везде грязь.
114,bak,"и дружно были, šundaj duθ.","и дружно были, так дружно."
115,kjh,"[evs1979f] харбасча же ол, кӱресче.","[evs1979f] борется же он, борьбой занимается."
116,kjh,"а потом курортха хайдары-да талай хазынзары, морязары ал чӧрген.",
117,evn,уже инӣгэрэн орорви.,уже развьючил своих оленей.
118,xas,dĭgəttə dibər - davaj meritʼ - sumna abi. ,"потом там, давай мерить, сделал пять. [?]"
119,evn,"пэктырэ̄чэ̄н чипка̄рвэ, улукӣлвэ, дянтакӣлвэ вес.","настрелял соболей, белок, росомах всех."
120,mhr,[14] мый шым ияш мо?,[14] я в семь лет что ли?
121,mhr,адак целинашкет шына кай.,опять на целину не поехали.
122,xas,"tăn pʼeldə (budi-) budʼet, măn pʼeldə"". ",[пусть] у тебя половина [мира] будет и у меня половина».
123,kjh,[egs1982f] а харындастарың туңмаларың родной хада тӧреен?,[egs1982f] а братья и сестры родные (есть)?
124,mhr,ала иктаж пече йымак,"может, [жеребёнок] под забором"
125,evn,"э̄, долго уже, долго, о̄й гороё итыга̄деӈнэрэвун, саво̄далвэр гороё инӣпдеӈнэрэв, гороё еще.","долго уже, долго, долго собирали вещи, долго вьючили [оленей], долго еще."
126,kjh,"«наа нимеліг, товар ағылза» теем, «андағ кізілерге тігіп одыр, а иргі имелер алба» теем «пір дее».","«если новую ткань принесёт», говорю, «таким людям шей, а старые вещи не бери», говорю, «вообще»."
127,kjh,"[erk1927f] худай-абаӌах, хабынғам, мӧӧдім чоғыл.","[erk1927f] господь-батюшка, хватилась, мёда нет."
128,kjh,[avd1959f] водички...,"даже с белого тасхыла текущие реки, даже белую степь преодолевая, бегут."
129,kjh,"колхозта мин тоғынмаан име халбаан, только хыра ла тартпаам.","в колхозе не было работы, которую бы я не делала, только поле только не пахала."
130,bak,"ularðə unda... суббота köndö qajtalar или šämbe köndö qajtalar, aləp kilälär qəš bulha traktorða, ä jal könö kire aləp baralar ine.","их туда... в субботу (заимствование), или в субботу (башкирское слово) сюда возвращались, а зимой привозили на тракторе, а в воскресенье отвозили обратно."
131,xas,bostə nʼergölüʔpi bar. ,[и] сама улетела.
132,bak,mejestär böttö.,печи не существуют.
133,xas,"""tăn ej kubiam, (gije-) gijen nʼergölüʔpiʔi nabəʔi?"" ","""ты не видела, куда полетели утки?"""
134,kjh,хайди кӧріндіре пол парча ол.,как на глазах происходит это.
135,mhr,[14] вот.,[14] вот.
136,bak,"älege tege tormoštaɣə, nejðän alənɣan bit inde ul, tormoštan... все.","он ведь такой, как в нынешней жизни, из этой взят, из жизни... все."
137,xas,"""o, girgit nʼamga. ","«ох, какая вкусная."
138,xas,"dĭ ineʔi bădəbiʔi, a dö ineʔi ej bădəbiʔi. ","тех лошадей покормили, а этих лошадей не покормили."
139,xas,"""kanaʔ maːndə! ","""иди домой!"
140,xas,iʔgö il nulaʔbə. ,много людей стоит.
141,xas,nada măna poʔto băʔsittə. ,мне придётся козла зарезать.
142,kjh,ағас… ағасха ілін марған.,дерево… на дереве повис.
143,bak,no beð küldän qajtəp kilä inek.,"ну, мы возвращались с озера."
144,bak,häm zöxrä šul nurðan ajɣa taban atlap menep kitkän.,и зухра по этому лучу поднялась к луне.
145,bak,"məna... anda... üðe... šul ütkän ɣümeren alar точно höjläj, ä kiläsäkte aldajðar.","это... вот... сам... прошедшую жизнь они точно говорят, а по поводу будущей жизни обманывают."
146,bak,"ä inde tatar awələna barhalar uŋajhəðlanəp, üððären bašqort tip äjtmähendär ösön tatarsa höjläšälär.","а когда попадают в татарскую деревню, стесняются, чтоб их не называли башкирами, они говорят по-татарски"
147,mhr,[15] сергей васильевич.,[15] сергей васильевич.
148,mhr,тынар шинчавӱдшӧ йоген да кылмен шинчын йӱштыштет.,"столько слёз она пролила, и слёзы заледенели в морозе."
149,xas,kabarləj daška. ,"хватит, больше не надо (?)"
150,mhr,"постараться да кӱлеш, конечно же.","постараться, конечно, нужно."
151,bak,"məna xäðer sportzalda bötön inventary, ä beððeŋ təšta, hawala, äje, все, bötähe =lä; круглый год balalar заниматься itä torɣajnə.","вот сейчас весь инвентарь в спортзале, а у нас [было] на улице, на воздухе, да, все, все [на улице]; круглый год дети занимались."
152,kjh,но анызы пір дее име пілбеендір.,"но тот ничего не знал, оказывается."
153,xas,măn măndəm: unnʼa (amnolaʔbə-) amnolam bar. ,я говорю: одна буду жить ведь.
154,kjh,"«ам позырахта сӱртем» теен, киӌее.","«теперь в воскресенье белить буду», сказала, вчера."
155,xas,ugaːndə kuštü kuza. ,очень сильный человек.
156,mhr,тудым киндыш пыштена ыле.,их добавляли в хлеб.
157,evn,****,****
158,xas,"i kirgarlaʔbə:"" măn maluʔpiam!"" ",и кричит: «я застрял!»
159,mhr,"но тора велыште улытат,","но они далеко живут [= находятся],"
160,evn,"нуңан балдиса̄н нѓэкэндэдӯ hэгди, hэгди, hэгди экундӯ.
				","она родилась в эконде в большой, большой, большой этой самой [семье]."
161,xas,dĭ davaj sütsi … ,она стала молоком…
162,kjh,"песке, ниме, пірее ниме итче бе?","печке, это, что-нибудь делают?"
163,xas,kabarləj. ,хватит!
164,mhr,"покрывалым пидме ыле, мо, ӱстембал=","покрывало [я] связала, это скатерть,"
165,kjh,"[emk1967f] ну, раз пу чыл отыс чыл полча, пір чыл тоғынмаан даа, ам…","[emk1967f] ну, раз в этом году тридцать лет, и год не работала, сейчас…"
166,xas,i dĭʔnə amnuʔtə šerbi. ,надел на рога [козлу].
167,kjh,[vtt1937f] а то длинный полған.,[vtt1937f] а то длинное было.
168,xas,pʼeš nenzittə. ,чтобы печь топить.
169,xas,"saʔməluʔpi (kup-) kupʼestə, turanə. ",она упала около дома купца.
170,kjh,чайға сахар может саларға или мёд салыңар.,
171,kjh,а то прямо полный эти таскают.,
172,xas,dĭzeŋ kambiʔi. ,они полетели.
173,xas,"a dĭ măndə:"" tüjö suʔmiluʔləm dak, bar tănan saj nožuʔləm"". ","а она говорит: «сейчас как выпрыгну, разорву(?) тебя на части»."
174,xas,"a keʔbde ibi, sagər keʔbde. ",а ягоды были - черная ягода.
175,xas,sön kuʔsittə nada. ,надо убить оленя.
176,kjh,"[zgb1935f] я, син путинні кірестенчен кӧрчемең?","[zgb1935f] да, ты видишь, что путин крестится?"
177,kjh,[erk1927f] тадар тілінмең чоохтанарға?,[erk1927f] на хакасском языке говорить?
178,kjh,"[evs1979f] а бутанаевха пирібіскем, бутанаевтең анаң сурғам, «син пирбеезің» теен и всё, и так и чіт парған.","[evs1979f] а бутанаеву я отдала, у бутанаева потом спрашивала, «ты не давала» сказал - и всё, и так и потерялось."
179,xas,ugaːndə maktanarzittə jakšə mobi. ,он очень хорошо умел хвастаться.
180,bak,"ber bäläkäj =genä öjgä səqtəm, keše tormaɣan öjgä.","я переселилась в один маленький дом, в дом, в котором никто не жил."
181,bak,ašaw restoranda buldə.,питание было в ресторане.
182,mhr,"ой, вашпӧрт кузе лиеш?","ой, как [по-русски] сказать «вашпӧрт» (задний дом)?"
183,kjh,"пуох школада ӱгренчелер, улии пу школаны тоозып ағбан городсар ӱгренерге парар.","все они учатся в этой школе, старший эту школу закончил и поедет учиться в абакан."
184,xas,"""kanžəbəj maːʔnʼi, abandə!"" ","«пойдём домой, к твоему отцу!»"
185,xas,tăŋ ej dʼăbaktəraʔ. ,сильно не разговаривай!
186,xas,dĭgəttə dĭ edəbi aspak. ,[потом] он подвесил котёл.
187,xas,"büzʼen koʔbdobə băragən detleʔbə."" ","дочь мужчины в мешке несут""."
188,kjh,"[evs1979f] а-а, ага.","[evs1979f] а-а, ага."
189,xas,"dĭ suʔmiluʔpi, a dĭn šü ibi. ","он прыгнул, а там огонь был."
190,bak,"šulaj… šulaj, bütän äjtä almajəm... не могу bütän!","так… так, больше ничего не могу сказать... больше не могу!"
191,xas,"urgaːba šonəga:"" iʔ măna (bostəzi)! ","медведь идет: ""возьми меня с собой!"
192,xas,dĭzeŋ kunolbiʔi dʼügən. ,они спали на полу.
193,kjh,"[vtt1937f] и то... піс пееркілері, иң аал пазындағылары и то пасха чоохтасча.","[vtt1937f] и то: мы тутошние,  и те, что в самом начале деревни (живут), и то по-разному разговаривают."
194,xas,tibi da koʔbdo tănan padʼi ĭmbi-nʼibudʼ deʔpiʔi. ,"мужчина и девушка, наверное, принесли тебе что-нибудь."
195,bak,[ldn] boron boron zamanda jäšägän ti ber babaj.,[ldn] давным-давно жил один старик.
196,evn,амӣм дылганман урэ̄дерэн.,походит на голос моего отца.
197,kjh,покосха чöрӌебiс пiрее-пiрее андары.,на покос туда ходили.
198,mhr,"два... два дома построили, шестерых детей сделали.","два... два дома построили, шестерых детей родили."
199,kjh,[mvk1924f] я. анда хыстапчам.,[mvk1924f] да. там зимую.
200,mhr,кол кандашымше август — тиде спас мемнан.,двадцать восьмое августа — это у нас спас.
201,xas,"dĭgəttə tumo supsobi, măndə: ","потом мышка выбежала, говорит:"
202,mhr,"южгунам же ойлат, что тыге... если","иногда же говорят, что так если"
203,kjh,[lat1978f] ам сентябрьда ӱс час тол <парар>.,[lat1978f] в этом сентябре ему будет три года.
204,mhr,"[2] колен колтыш, шорын шыш керт да.","[2] умерла, не могла ходить в туалет."
205,bak,"bälki beräj häjkäl =dä qujərɣa tip, bik bildäle keše bulɣan inde.","возможно, какой-нибудь памятник поставить, он же очень известный человек был."
206,xas,i nuʔmiluʔpiʔi maːʔndə. ,и побежали домой.
207,xas,šobi. ,пришёл.
208,xas,"dĭzeŋ наверное ibiʔi, üjüttə (s-) sarbiʔi, kumbiʔi maʔndə. ","они, наверное, взяли его, связали ему ноги, отнесли домой."
209,xas,(berzəbi) bar. ,дымно.
210,mhr,"айда пӧртылына, мо мемнан имне лийын?»","давай вернёмся, что случилось с нашей лошадью?»"
211,mhr,[15] тый <нрзб>,[15] ты <нрзб>.
212,xas,"a volk (tüj) šobi, dĭm amnuʔpi. ","волк пришел, съел его."
213,xas,iʔ kanaʔ! ,не ходи!
214,mhr,"нуно колхозышто шке кушко кӱлеш,","они в колхозе сами куда нужно,"
215,mhr,кандаш ияш эргыже ыле манеш.,у него был сын восьми лет.
216,mhr,"[2] мо, кок гана ойленут, мо= мом ыштенут... еҥым шортаренут.","[2] два раза передавали, заставили людей плакать."
217,kjh,[evs1979f] кӧнекмең.,[evs1979f] за ведро.
218,mhr,уло мом шарналташ,есть что вспомнить
219,bak,"kem xäldän kilä... если хочет, если сила хватит...","кому по силам... если хочет, если сила хватит..."
220,mhr,"<пеш> чапле имньым шогалтен кодышым, мом ыштет?","хорошую лошадь оставила, что поделаешь?"
221,mhr,[2] кудло куд ий илем.,[2] шестьдесят шесть лет живу.
222,bak,[mjj] kem.,[mjj] кто?
223,xas,"""davaj döʔə … ","""давай отсюда…"
224,xas,măn dʼijenə dĭgəttə kallam. ,я потом в лес пойду.
225,xas,šoʔ döbər! ,иди сюда!
226,bak,"даже televizorənda məna höjlägändä, tege ular höjläj ultəra, beð təŋlaj ultərhaq, ""ej, šul hüð bašqortsa šulaj bit"", например, ""свадьба"" tip äjtte.","даже когда вот по телевизору говорят, они вот говорят, мы слушаем, ""эй, это слово ведь (есть) по-башкирски"", например, ""свадьба"" говорят."
227,evn,варак hо̄гинипкӣ:,враг пинает:
228,kjh,"чабал ағырығ, о-о.","злая болезнь, о-о."
229,xas,tolʼko (ka-) kanzittə. ,только идти (?)
230,xas,măn болото (sĭʔitsə) šobiam. ,я шла по(?) болоту.
231,xas,šobiʔi inezʼiʔi. ,они поехали на лошадях.
232,kjh,"[evs1979f] а-а, учухча бе?","[evs1979f] а-а, отлетает?"
233,kjh,[evs1979f] пара пиӌеде полғабыс.,[evs1979f] у тёти вари мы были.
234,kjh,"частығ нізем най ле, улуғ уже.","в возрасте ведь я сильно, пожилая же."
235,kjh,"[evs1979f] харағай, ага.","[evs1979f] харагай, ага."
236,kjh,пір момент ещё сағызыма кір партыр.,один момент запомнил.
237,evn,потом амӣ эмэрэн.,потом отец пришел.
238,bak,"nu šunan töšöp kittem üðemä däreskä, nejðän, ike därestän huŋ, taɣən tege kabinetqa keräm.","ну потом пошла к себе на урок, через это, через два урока, опять захожу в кабинет."
239,kjh,"ахпашевтердең даа чоғыл, султрековтардаң дее чоғыл.","и из ахпашевых нет, и из султрековых нет."
240,xas,"(sp-) ugaːndə tăn sagər, kanaʔ moltʼanə! ","очень ты грязный, иди в баню."
241,mhr,марийжымат,и по-марийски-то
242,bak,šulajtəp min uɣa dürtle bildähenä imtixandə tapšərəp.,вот так я ей сдала экзамен на четверку.
243,xas,"""davaj tănzi amnozittə?"" ","""давай вместе жить?"""
244,xas,"""kudajən koʔbdo, iʔ miʔnʼibeʔ!"" ","""божья дочь, возьми нас!"""
245,kjh,"[mvk1924f] аны ал чӧрӌеңнер, хайзы, ибезінзері апарып, хамнатчаңнар.","[mvk1924f] его водили, некоторые, домой приведя, приглашали шаманить."
246,xas,"((dmg)) dĭgəttə dĭ (dʼabəluʔpi) xvostə, xvostə (dʼ-) sajnʼeʔpi. ","он ее схватил за хвост, хвост оторвался."
247,mhr,ик ийлан сайын пашам ыштен от керт».,ни одного года не можешь поработать по-хорошему».
248,xas,a (dĭ=) dĭzeŋgən ĭmbidə nagobi. ,но у них ничего не было.
249,kjh,мин ағаа ат сыйлирға итчеткем.,я ему хотела коня подарить.
250,evn,****,****
251,xas,ara bĭʔpiʔi. ,водку пили.
252,mhr,"ну, илена — ужына.","ну, поживем — увидим."
253,kjh,[tna1930f] палалардаң…,[tna1930f] с детьми…
254,xas,"""ködərdə, ajə i šoləl"". ","""развяжи дверь [=потяни за веревочку], и зайдешь""."
255,xas,tüj măn unnʼam amnolaʔbəm. ,теперь я одна живу.
256,xas,tĭ bar uʔməlaʔpi. ,она убежала.
257,mhr,[15] туге но.,[15] ну да.
258,kjh,а совхозха тикке ле тоғынғабыс нізе.,а на совхоз бесплатно только работали мы ведь.
259,kjh,ипчізі азахха аар халған полтыр ӱзӱнӌі палазына.,"жена (его) беременная осталась, оказывается, третьим ребенком."
260,mhr,"тун деч вараже эре эн= эре пел йолем корштыш, ындыже когынек коршта.","после этого одно нога начала болеть, а теперь обе болят."
261,mhr,"и киноаппарат ок кул,,","и киноаппарат не нужен,"
262,xas,kanaʔ. ,"иди!"""
263,bak,[izg] ber mälde boron - boron zamanda jäšägän ti qəð zöxrä häm unəŋ atahə.,[izg] однажды давным-давно жила девочка зухра со своим отцом.
264,evn,"ну, та̄ла̄ hурурэ.","ну, пошли туда."
265,xas,i bazoʔ embiem. ,и назад поставила.
266,kjh,"«анаң ханӌа-да кізі, может быть он, он писче полар чи, хайди-да ол цифразын ундут салтыр мин, име, задание пиргеннер:","«потом несколько человек, может, десять-пятнадцать будет, как-то эту цифру я забыл, это, задание дали:"
267,kjh,ады сіліг хакас чоным саблан турзын хаӌанға даа-й.,с красивым названием хакасский народ мой пусть прославляется всегда.
268,mhr,[1] а блины эти готовили,[1] а блины эти готовили
269,bak,šunan ber aj ütkäs tege jeget jaɣəna qəððə kilen itep oðatəp aləp barɣandar.,"потом спустя месяц вот на сторону жениха невесту, выдав, провожали."
270,mhr,"ӱдырамашыжын вара можо, пӧрыжшӧ ыле,","у женщины был этот, любовник,"
271,evn,"тар hэлэ умно̄, дэгилчолон, думайдеса тар бэе.","вот, однажды, когда тот улетел, этот человек подумал:"
272,xas,tüšəldə măna maktanərzittə tănzi. ,научи меня восхвалять тебя.
273,kjh,"ам пу от тузы пол парыбысхан, аның ӱчӱн маңнанминчан охстар, кил полбинчалар.","теперь настало время сенокоса, поэтому не успевает, видимо, не могут приехать."
274,mhr,операция «о».,проведём операцию «о».
275,xas,dĭgəttə măndə: ,однажды она говорит:
276,mhr,"мом ышташ кӱлеш ыле вет, уравненийым…","это надо было делать ведь, уравнение…"
